00794,Barranquitas,PR,USA,Barranquitas,18.20155,-66.30872
00795,Juana Diaz,PR,USA,Juana Díaz,18.05931,-66.50178
00901,San Juan,PR,USA,San Juan,18.46532,-66.10485
00906,San Juan,PR,USA,San Juan,18.46446,-66.09499
00907,San Juan,PR,USA,San Juan,18.45313,-66.07778
00909,San Juan,PR,USA,San Juan,18.44153,-66.06723
00911,San Juan,PR,USA,San Juan,18.45135,-66.05631
00912,San Juan,PR,USA,San Juan,18.44534,-66.06018
00913,San Juan,PR,USA,San Juan,18.45022,-66.04267
00915,San Juan,PR,USA,San Juan,18.43691,-66.04562
00917,San Juan,PR,USA,San Juan,18.4214,-66.05005
00918,San Juan,PR,USA,San Juan,18.42138,-66.06588
00920,San Juan,PR,USA,San Juan,18.41571,-66.08889
00921,San Juan,PR,USA,San Juan,18.39224,-66.08853
00923,San Juan,PR,USA,San Juan,18.40953,-66.03866
00924,San Juan,PR,USA,San Juan,18.39827,-66.01289
00925,San Juan,PR,USA,San Juan,18.40031,-66.05055
00926,San Juan,PR,USA,San Juan,18.3462,-66.05234
00927,San Juan,PR,USA,San Juan,18.38875,-66.07189
00934,Fort Buchanan,PR,USA,Guaynabo,18.41138,-66.12399
00936,San Juan,PR,USA,San Juan,18.39548,-66.07376
00949,Toa Baja,PR,USA,Toa Baja,18.43017,-66.20883
00950,Toa Baja,PR,USA,Dorado,18.46208,-66.2376
00951,Toa Baja,PR,USA,Toa Baja,18.42842,-66.25661
00952,Sabana Seca,PR,USA,Toa Baja,18.42748,-66.18207
00953,Toa Alta,PR,USA,Toa Alta,18.36312,-66.2475
00956,Bayamon,PR,USA,Bayamón,18.32082,-66.17175
00957,Bayamon,PR,USA,Bayamón,18.36735,-66.18869
00959,Bayamon,PR,USA,Bayamón,18.38485,-66.15583
00960,Bayamon,PR,USA,Bayamón,18.41701,-66.14446
00961,Bayamon,PR,USA,Bayamón,18.41011,-66.16538
00962,Catano,PR,USA,Cataño,18.43904,-66.13928
00965,Guaynabo,PR,USA,Guaynabo,18.43385,-66.11486
00966,Guaynabo,PR,USA,Guaynabo,18.40226,-66.11757
00968,Guaynabo,PR,USA,Guaynabo,18.40617,-66.10127
00969,Guaynabo,PR,USA,Guaynabo,18.36751,-66.10852
00971,Guaynabo,PR,USA,Guaynabo,18.32131,-66.11811
00976,Trujillo Alto,PR,USA,Trujillo Alto,18.33844,-65.9921
00979,Carolina,PR,USA,Carolina,18.43649,-66.01699
00982,Carolina,PR,USA,Carolina,18.40992,-65.9917
00983,Carolina,PR,USA,Carolina,18.41804,-65.97632
00985,Carolina,PR,USA,Carolina,18.40825,-65.94842
00987,Carolina,PR,USA,Carolina,18.33935,-65.94313
01001,Agawam,MA,USA,Hampden,42.06258,-72.6259
01002,Amherst,MA,USA,Hampshire,42.37492,-72.4621
01003,Amherst,MA,USA,Hampshire,42.39192,-72.52479
01005,Barre,MA,USA,Worcester,42.42018,-72.10615
01007,Belchertown,MA,USA,Hampshire,42.27875,-72.40036
01008,Blandford,MA,USA,Hampden,42.18428,-72.95203
01009,Bondsville,MA,USA,Hampden,42.20972,-72.33971
01010,Brimfield,MA,USA,Hampden,42.12863,-72.20624
01011,Chester,MA,USA,Hampden,42.29653,-72.95969
01012,Chesterfield,MA,USA,Hampshire,42.38698,-72.84632
01013,Chicopee,MA,USA,Hampden,42.1595,-72.60824
01020,Chicopee,MA,USA,Hampden,42.17637,-72.56537
01022,Chicopee,MA,USA,Hampden,42.19731,-72.54267
01026,Cummington,MA,USA,Hampshire,42.4633,-72.92024
01027,Easthampton,MA,USA,Hampshire,42.29508,-72.74309
01028,East Longmeadow,MA,USA,Hampden,42.05968,-72.49908
01029,East Otis,MA,USA,Berkshire,42.19632,-73.04836
01030,Feeding Hills,MA,USA,Hampden,42.06886,-72.67999
01031,Gilbertville,MA,USA,Worcester,42.32933,-72.19822
01032,Goshen,MA,USA,Hampshire,42.45029,-72.81301
01033,Granby,MA,USA,Hampshire,42.26081,-72.50363
01034,Granville,MA,USA,Hampden,42.08485,-72.95765
01035,Hadley,MA,USA,Hampshire,42.35564,-72.56921
01036,Hampden,MA,USA,Hampden,42.06369,-72.4159
01037,Hardwick,MA,USA,Worcester,42.37011,-72.19772
01038,Hatfield,MA,USA,Hampshire,42.3855,-72.60699
01039,Haydenville,MA,USA,Hampshire,42.40629,-72.69362
01040,Holyoke,MA,USA,Hampden,42.21256,-72.64107
01050,Huntington,MA,USA,Hampshire,42.28784,-72.86986
01053,Leeds,MA,USA,Hampshire,42.35348,-72.71161
01054,Leverett,MA,USA,Franklin,42.47363,-72.48746
01056,Ludlow,MA,USA,Hampden,42.19212,-72.45804
01057,Monson,MA,USA,Hampden,42.09164,-72.32431
01060,Northampton,MA,USA,Hampshire,42.32228,-72.63129
01062,Florence,MA,USA,Hampshire,42.3219,-72.69279
01063,Northampton,MA,USA,Hampshire,42.3191,-72.63896
01066,North Hatfield,MA,USA,Hampshire,42.40763,-72.65481
